train	-28.3360534771
train	-41.2101408256
train	-43.0037713133
train	-43.6958911761
train	-44.0569462209
train	-44.2998063125
train	-44.4729452227
train	-44.6087284687
train	-44.7125654788
train	-44.8014583944
train	-44.8781794528
train	-44.9430141328
train	-44.9998178564
train	-45.0517984067
train	-45.099552957
train	-45.1397698331
train	-45.1757442656
train	-45.2093019818
train	-45.2374871051
train	-45.2625562002
train	-45.2847763957
train	-45.3061522795
train	-45.3268035468
train	-45.3481819004
train	-45.3714023714
train	-45.3949362295
train	-45.4150520058
train	-45.4323926143
train	-45.4478848781
train	-45.4616395759
train	-45.4753016402
train	-45.4878385462
train	-45.5012492198
train	-45.5128983226
train	-45.5239984112
train	-45.536964329
train	-45.5501123813
train	-45.5631009231
train	-45.5749345047
train	-45.5874381811
train	-45.6034190952
train	-45.6162477102
train	-45.6283258135
train	-45.6374132035
train	-45.6442222858
train	-45.6536914287
train	-45.6604864927
train	-45.6679911136
train	-45.6737181057
train	-45.681138251
